Station ID,Latitude,Longitude,City,Availability,Distance to City (km),Usage Stats (avg users/day),Station Operator,Charging Capacity (kW),Connector Types,Installation Year,Renewable Energy Source,Reviews (Rating),Parking Spots,Maintenance Frequency
EVS00001,-33.400998,77.974972, Köln,9:00-18:00,4.95,35,EVgo,350,"CCS, CHAdeMO",2013,Yes,4,7,Annually
EVS00002,37.861857,-122.490299, Stuttgart,24-Jul,4.96,83,EVgo,350,"Tesla, Type 2",2010,Yes,3.9,2,Monthly
EVS00003,13.776092,100.412776, Berlin,6:00-22:00,8.54,24,ChargePoint,50,"Type 2, CCS",2019,No,3.6,9,Annually
EVS00004,43.62825,-79.468935, Stuttgart,9:00-18:00,13.28,70,Greenlots,350,Type 2,2010,Yes,4.2,7,Monthly
EVS00005,19.119865,72.913368, Leipzig,9:00-18:00,9.76,19,EVgo,350,CCS,2015,Yes,3.7,6,Annually
EVS00006,-23.695008,-46.548187, Frankfurt,6:00-22:00,2.02,39,Ionity,350,Tesla,2016,Yes,3.2,9,Quarterly
EVS00007,55.762409,37.65583, Hamburg,24-Jul,2.68,89,ChargePoint,350,"Tesla, CCS",2011,Yes,4,4,Annually
EVS00008,13.715561,100.561468, Berlin,24-Jul,3.63,72,Ionity,350,Tesla,2013,Yes,4.3,9,Annually
EVS00009,41.807653,-87.755349, Hamburg,9:00-18:00,6.68,68,Greenlots,350,CCS,2013,No,3.4,1,Monthly
EVS00010,39.968701,116.433865, Leipzig,9:00-18:00,19.13,82,Tesla,150,"CCS, Tesla",2023,No,4.4,5,Quarterly
EVS00011,19.944111,26.228083, Stuttgart,9:00-18:00,17.42,59,EVgo,22,"Tesla, CHAdeMO",2013,No,3.7,5,Quarterly
EVS00012,55.81937,37.543245, Hamburg,6:00-22:00,1.88,18,Greenlots,150,"CHAdeMO, CCS",2016,Yes,4,5,Annually
EVS00013,52.506967,13.345088, Berlin,9:00-18:00,11.77,73,ChargePoint,22,Tesla,2012,No,4,2,Quarterly
EVS00014,41.847035,-87.670005, Hamburg,24-Jul,3.21,66,Tesla,50,Tesla,2012,Yes,3.5,9,Annually
EVS00015,25.392096,55.28618, Köln,24-Jul,16.7,46,EVgo,350,"CCS, Tesla",2013,Yes,3.4,10,Quarterly
EVS00016,25.335831,55.227629, Köln,6:00-22:00,15.84,89,EVgo,22,CCS,2020,No,3.9,9,Quarterly
EVS00017,13.877602,100.508728, Berlin,6:00-22:00,13.18,28,Ionity,350,"CCS, CHAdeMO",2018,No,4,3,Annually
EVS00018,37.790361,-122.378324, Stuttgart,24-Jul,2.05,60,ChargePoint,150,CHAdeMO,2023,No,4.9,7,Annually
EVS00019,37.695636,127.050246, Stuttgart,9:00-18:00,7.35,29,Tesla,350,"Type 2, CHAdeMO",2017,No,4.1,2,Monthly
EVS00020,19.519719,-99.171733, München,6:00-22:00,0.73,12,Tesla,350,Type 2,2023,Yes,3.2,5,Annually
EVS00021,81.568159,-92.791385, Hamburg,6:00-22:00,10.43,43,Ionity,150,"CHAdeMO, Tesla",2016,Yes,3.3,10,Quarterly
EVS00022,55.738402,37.675763, Hamburg,24-Jul,5.45,47,Tesla,350,CCS,2020,No,4.7,5,Quarterly
EVS00023,-33.826489,18.54196, Stuttgart,9:00-18:00,15.05,14,Greenlots,350,"CHAdeMO, Tesla",2020,Yes,4.2,10,Annually
EVS00024,52.43128,13.407406, Berlin,24-Jul,9.92,52,Tesla,22,CHAdeMO,2023,Yes,4.4,2,Annually
EVS00025,41.989867,-87.637143, Hamburg,9:00-18:00,4.71,67,ChargePoint,50,"CCS, Tesla",2021,No,4.7,7,Quarterly
EVS00026,39.908197,116.390126, Leipzig,24-Jul,8.3,99,Greenlots,50,Type 2,2015,No,4.1,1,Monthly
EVS00027,13.743441,100.449744, Berlin,9:00-18:00,17.76,25,ChargePoint,150,Tesla,2020,No,4.1,7,Annually
EVS00028,-23.654772,-46.534003, Frankfurt,24-Jul,13.65,52,Tesla,50,CCS,2014,No,4.7,3,Quarterly
EVS00029,-33.718044,151.217306, München,6:00-22:00,8.36,72,Ionity,22,Tesla,2017,No,4.8,9,Annually
EVS00030,39.807514,116.203733, Leipzig,6:00-22:00,5.52,27,EVgo,50,"CHAdeMO, Type 2",2013,No,3,5,Annually
EVS00031,53.03844,17.213144, Köln,24-Jul,9.13,36,Tesla,22,"CHAdeMO, CCS",2018,Yes,3.6,5,Quarterly
EVS00032,39.999797,116.345712, Leipzig,9:00-18:00,18.44,90,Tesla,150,"Tesla, Type 2",2020,Yes,4.1,3,Quarterly
EVS00033,-23.619267,-46.67757, Frankfurt,24-Jul,18.39,97,Tesla,350,"CCS, Type 2",2018,No,3.7,7,Monthly
EVS00034,39.843388,116.357078, Leipzig,6:00-22:00,0.84,59,EVgo,150,"CHAdeMO, CCS",2018,Yes,3.7,9,Monthly
EVS00035,41.868532,-87.602875, Hamburg,9:00-18:00,9.7,16,Ionity,50,CHAdeMO,2015,Yes,4.4,2,Annually
EVS00036,43.634205,-79.494221, Stuttgart,6:00-22:00,10.84,21,Greenlots,22,"Type 2, Tesla",2012,Yes,4.7,4,Monthly
EVS00037,13.756978,100.402198, Berlin,9:00-18:00,1.28,50,Greenlots,350,Type 2,2016,No,4.3,1,Quarterly
EVS00038,-33.759342,151.210366, München,9:00-18:00,19.06,61,Ionity,22,CHAdeMO,2018,Yes,4.2,4,Quarterly
EVS00039,39.941888,116.320916, Leipzig,24-Jul,15.63,69,Ionity,350,"CCS, CHAdeMO",2023,Yes,4.2,3,Annually
EVS00040,-33.726294,18.460786, Stuttgart,24-Jul,14.62,15,Tesla,50,"CHAdeMO, Tesla",2012,No,4.9,1,Annually
EVS00041,-52.343695,-47.887828, Köln,6:00-22:00,2.03,20,EVgo,350,Tesla,2014,No,5,3,Annually
EVS00042,41.978341,-87.77332, Hamburg,9:00-18:00,19.63,14,Tesla,50,"Type 2, Tesla",2023,No,4.8,3,Monthly
EVS00043,25.281221,55.258951, Köln,6:00-22:00,5.06,73,Greenlots,50,"Tesla, CHAdeMO",2012,Yes,4.3,8,Quarterly
EVS00044,37.574357,127.067507, Stuttgart,9:00-18:00,2.38,96,ChargePoint,50,CCS,2019,No,3.8,3,Monthly
EVS00045,-33.737572,151.335511, München,9:00-18:00,19.67,78,Ionity,22,Tesla,2018,Yes,4.4,3,Quarterly
EVS00046,41.935571,-87.741868, Hamburg,9:00-18:00,2.58,12,EVgo,50,Tesla,2020,No,3.6,3,Quarterly
